AnimalID,License Number,License Number 2,Deadline,Deadline 2,Name,Name 2,ID1,ID2,Business Number,Business Number 2,Animal Name,Animal Name 2,Level,Level 2,Objective,Objective 2,Original,Original 1,Stamp And Sign,Stamp And Sign 2
GCa,CL-001,CL-015,2022/11/19,2022/11/20,洪中州,何國勇,P11111,P34132,70528471,18349491,Garrulax canorus,,II,,販售,繁殖,海南島,,I_Stamp_5,
GCb,PL-019,PL-020,2022/11/21,2022/11/22,孔乙己,吳君如,P29022,P78893, , ,Garrulax canorus,,II,,寵物,寵物,海南島,,I_Stamp_5,
GCaF,CL-001,CL-015,2022/11/19,2022/11/20,洪中州,何國勇,P11111,P34132,70528471,18349491,Garrulax canorus,,II,,販售,繁殖,海南島,,I_Stamp_5,
GCbF,PL-019,PL-020,2022/11/21,2022/11/22,孔乙己,吳君如,P29022,P78893, , ,Garrulax canorus,,II,,寵物,寵物,海南島,馬里,I_Stamp_5,
BJa,CL-016,CL-017,2023/1/19,2023/1/20,陳世美,周新新,P35608,P25568,52362473,39432134,Bombycilla japonica,,III,,販售,繁殖,西伯利亞,,I_Stamp_5,
BJb,PL-020,PL-021,2023/1/19,2023/1/20,舟大福,金六福,P67788,P38408, , ,Bombycilla japonica,,III,,寵物,寵物,西伯利亞,,I_Stamp_5,
BJaF,CL-016,CL-017,2023/1/19,2023/1/20,陳世美,周新新,P35608,P25568,52362473,3943,Bombycilla japonica,,III,,販售,繁殖,西伯利亞,,I_Stamp_5,
BJbF,PL-020,PL-021,2023/1/19,2023/1/20,舟大福,金六福,P67788,P38408, , ,Bombycilla japonica,,III,,寵物,寵物,西伯利亞,,I_Stamp_5,
PYa,CL-018,CL-019,2023/1/5,2023/1/6,藍心怡,鄭延靖,P79329,P43299,19390348,17823040,Python regius,,II,,販售,繁殖,烏干達,,I_Stamp_5,
PYb,PL-022,PL-023,2023/1/7,2023/1/8,李雅婷,丁曜宇,P58359,P94389, , ,Python regius,,II,,寵物,寵物,烏干達,,I_Stamp_5,
PYaF,CL-018,CL-019,2023/1/5,2023/1/6,藍心怡,鄭延靖,P79329,P43299,19390348,17823040,Python regius,,II,,販售,繁殖,烏干達,,I_Stamp_5,
PYbF,PL-022,PL-023,2023/1/7,2023/1/8,李雅婷,丁曜宇,B58359,P94389, , ,Python regius,,II,,寵物,寵物,烏干達,,I_Stamp_5,
CTa,CL-020,CL-021,2023/12/5,2023/12/6,歐陽修,關添海,P84830,P27420,2974248,2384531,Cuora trifasciata,,II,,販售,販售,香城,,I_Stamp_5,
CTb,PL-024,PL-025,2023/12/5,2023/12/6,樂嘉琪,陳柏圓,P48320,P83340, , ,Cuora trifasciata,,II,,寵物,寵物,香城,,I_Stamp_5,
CTaF,CL-020,IL-021,2023/12/5,2023/12/6,歐陽修,關添海,P84830,P27420,2974248,2384531,Cuora trifasciata,,II,,繁殖,販售,香城,,I_Stamp_5,I_Stamp_6
CTbF,PL-024,PL-025,2023/12/5,2023/12/6,樂嘉琪,陳柏圓,P48320,P83340, , ,Cuora trifasciata,,II,,寵物,寵物,香城,,I_Stamp_5,
FPa,CL-022,CL-023,2023/6/6,2023/6/7,曾靜靜,東方畢敗,P78632,P30232,96697892,23329891,Furcifer pardalis,,II,,繁殖,販售,斯里蘭卡,,I_Stamp_5,
FPb,PL-026,PL-027,2023/6/6,2023/6/7,李豪,陸少王,P48132,P64022, , ,Furcifer pardalis,,II,,寵物,寵物,斯里蘭卡,,I_Stamp_5,
FPaF,PL-122,CL-023,2023/6/6,2023/6/7,曾靜靜,東方畢敗,P78632,P30232,96697892,23329891,Furcifer pardalis,,I,II,繁殖,販售,斯里蘭卡,,I_Stamp_5,
FPbF,PL-026,PL-027,2022/3/16,2023/6/7,李豪,陸少王,P48132,P64022, , ,Furcifer pardalis,,II,,寵物,寵物,斯里蘭卡,,I_Stamp_5,
